key,en,en_US,en_CA,es,es_419,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,pt,ru,de,sv,da,fi,no,fo,hu,ro,pl,hy,he,ar,ie,ja,ia
Question,?,,,?,,?,,?,\u0020?,,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
CannotEditResults,. You cannot edit the results.,,,No se pueden editar los resultados,,No puede editar los resultados.,No puedes editar los resultados,No se pueden editar los resultados,. Vous ne pouvez pas éditer les résultats,,,. Você não pode editar os resultados.,Вы не можете редактировать результаты,. Du kannst die Ergebnisse nicht bearbeiten.,. Du kan inte redigera beslutet,. Resultaterne kan ikke ændres.,. Et voi editoida tuloksia,. Du kan ikke redigere resultatene.,. You cannot edit the results.,Az eredmények nem szerkeszthetők,Nu se pot edita rezultatele,Nie możesz edytować wyników,Դուք չեք կարող խմբագրել արդյունքները:,. לא ניתן לערוך את התוצאות.,. لا يمكنك تعديل النتائج,. Δεν μπορείτε να επεξεργαστείτε τα αποτελέσματα.,. 結果を編集することはできません,3
Scoreboard.AttemptsDone,"{0,choice,0#No attempts done.|1#1 attempt done.|1<{0} attempts done.}",,,"{0,choice,0#Ningún intento realizado.|1#1 intento realizado.|1<{0} intentos realizados.}",,"{0,choice,0#Ningún intento realizado.|1#1 intento hecho.|1<{0} intentos realizados.}","{0,choice,0#No se hicieron intentos.|1#1 intento hecho.|1<{0} intentos realizados.}","{0,choice,0#Ningún intento realizado.|1#1 intento realizado.|1<{0} intentos realizados.}","{0,choice,0#Aucun essai.|1#1 essai effectué.|1<{0} essais effectués.}",,,"{0,choice,0#Nenhuma Tentativa Concluída.|1#nº 1 Tentativa Concluída.|1<{0} Tentativas Concluídas.}",Всего попыток выполнено: {0},"{0,choice,0#Keine Versuche fertig.|1#1 Versuch fertig.|1<{0} Versuche fertig.}","{0,choice,0#Inga försök gjorda.|1#1 försök gjort. |1<{0} gjorda försök.}","{0,choice,0#Ingen løft afviklet.|1#1 løft afviklet.|1<{0} løft afviklet.}","{0,choice,0#Ei yrityksiä jäljellä.|1#1 nosto valmis.|1<{0} nostoa valmiina.}","{0,choice,0#Ingen forsøk utført.|1#1 forsøk utført.|1<{0} forsøk utført.}","{0,choice,0#Ongar royndir eru gjørdar.|1#1 roynd er gjørd.|1<{0} royndir er gjørdar.}","{0,choice,0#Sikertelen kisérletek.|1#1 sikeres kisérlet.|1<{0} sikeres kisérletek.}","{0,choice,0# încercari nereusite.|1#1 încercare reusita.|1<{0} încercari reusite.}","{0,choice,0#Podejścia nie wykonane.|1#1 podejście nie wykonane.|1<{0} podejścia wykonane}",Ընդամենը արված փորձեր {0},"{0,choice,0#לא בוצעו ניסיונות.|1#בוצע ניסיון 1.|1<{0} ניסיונות בוצעו.}","{0,choice,0#لم يتم تنفيذ أي محاولة.|1#تم تنفيذ محاولة واحدة.|1<{0} محاولات تم تنفيذها.}","{0,choice,0#Δεν έγιναν προσπάθειες.|1#1 προσπάθεια.|1<{0} έγιναν προσπάθειες.}","{0,choice,0#試技未実施|1#1 試技実施済み|1<{0} 試技実施済み}",4
Results.AttemptsDone,"{0,choice,0#No attempts done.|1#1 attempt done.|1<{0} attempts done.}",,,"{0,choice,0#Ningún intento realizado.|1#1 intento realizado.|1<{0} intentos realizados.}",,"{0,choice,0#Ningún intento realizado.|1#1 intento hecho.|1<{0} intentos realizados.}","{0,choice,0#No se hicieron intentos.|1#1 intento hecho.|1<{0} intentos realizados.}","{0,choice,0#Ningún intento realizado.|1#1 intento realizado.|1<{0} intentos realizados.}","{0,choice,0#Aucun essai.|1#1 essai effectué.|1<{0} essais effectués.}",,,"{0,choice,0#Nenhuma Tentativa Concluída.|1#nº 1 Tentativa Concluída.|1<{0} Tentativas Concluídas.}",Всего попыток выполнено: {0},"{0,choice,0#Keine Versuche fertig.|1#1 Versuch fertig.|1<{0} Versuche fertig.}","{0,choice,0#Inga försök gjorda.|1#1 försök gjort. |1<{0} gjorda försök.}","{0,choice,0#Ingen løft afviklet.|1#1 løft afviklet.|1<{0} løft afviklet.}","{0,choice,0#Ei yrityksiä jäljellä.|1#1 yritys valmis.|1<{0} nostoa valmiina.}","{0,choice,0#Ingen forsøk utført.|1#1 forsøk utført.|1<{0} forsøk utført.}","{0,choice,0#No attempts done.|1#1 attempt done.|1<{0} attempts done.}","{0,choice,0#Sikertelen kisérletek.|1#1 sikeres kisérlet.|1<{0} sikeres kisérletek.}","{0,choice,0#încercari nereusite.|1#1 încercare reusita.|1<{0} încercari reusite.}","{0,choice,0#Podejścia nie wykonane.|1#1 podejście nie wykonane.|1<{0} podejścia wykonane}",Ընդհանուր արված փորձեր {0} ,"{0,choice,0#לא בוצעו ניסיונות.|1#בוצע ניסיון 1.|1<{0} ניסיונות בוצעו.}","{0,choice,0#لم يتم تنفيذ أي محاولة.|1#تم تنفيذ محاولة واحدة.|1<{0} محاولات تم تنفيذها.}","{0,choice,0#Δεν έγιναν προσπάθειες.|1#1 προσπάθεια.|1<{0} έγιναν προσπάθειες.}","{0,choice,0#試技未実施|1#1 試技実施済み|1<{0} 試技実施済み}",5
NoLift_GoodLift,"{0,choice,0#No Lift|1#Good Lift} for {1}",,,"{0,choice,0#Levantamiento Nulo|1#Levantamiento Válido} para {1}",,"{0,choice,0#Levantamiento Nulo|1#Levantamiento Válido} para {1}","{0,choice,0#Mal Levantamiento|1#Buen Levantamiento} para {1}","{0,choice,0#Levantamiento Nulo|1#Levantamiento Válido} para {1}","Essai {0,choice,0#refusé|1#réussi} pour {1}",,,"{0,choice,0#Inválido |1# Válido} para {1}","{0,choice,0#Подъём не засчитан|1#Подъём засчитан} для {1}","{0,choice,0#Ungültig|1#Gültig} for {1}","{0,val,0#Underkänt lyft|1#Godkänt lyft} for {1}","{0,choice,0#Underkendt|1#Godkendt} for {1}","{0,choice,0#Hylätty nosto|1#Hyväksytty nosto} :lle {1}","{0,choice,0#No Lift|1#Good Lift} for {1}","{0,choice,0#No Lift|1#Good Lift} for {1}","{0,choice,0#Sikertelen gyakorlat|1#Sikeres gyakorlat} for {1}","{0,choice,0#încercari nereusite|1#încercari reusite} for {1}","{0,choice,0#Nie zaliczone|1#Zaliczone} for {1}","{0,choice,0 #Քաշը չի հաշվվում| 1 #Քաշը հաշվվում է} {1}ի համար","{0,choice,0#ניסיון לא מוצלח|1#ניסיון מוצלח} ל- {1}","{0,choice,0#محاولة غير ناجحة|1#محاولة ناجحة} لـ {1}","{0,choice,0#No Lift|1#Good Lift} για {1}","{0,choice,0#失敗|1#成功} for {1}",6
Kg,"{0,number,#.#} kg",,,"{0,number,#.#} kg",,"{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg",,,"{0,number, #.#} kg","{0,number,#.#} кг","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number, #.#} կգ","{0,number,#.#} ק""ג!","{0,number,#.#} كغ","{0,number,#.#} kg","{0,number,#.#} kg",7
TeamResults.TeamNameFormat,{0} ({1}),,,{0} ({1}),,{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),,,{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1}),8
Upload.WrongDateFormat,"{0} is not a 4-digit year OR an ""{1}"" {2} format like {3} OR an international {4} format like {5}",,,"{0} no es un año de 4 dígitos O un formato ""{1}"" {2} como {3} O un formato internacional {4} como {5}.",,"{0} no es un año de 4 dígitos O un formato ""{1}"" {2} como {3} O un formato internacional {4} como {5}.",{0} no es un año de 4 dígitos O un español {2} formato como {3} O un formato {4} internacional como {5},"{0} no es un año de 4 dígitos O un formato ""{1}"" {2} como {3} O un formato internacional {4} como {5}.","{0} n'est pas une année à 4 chiffres OU un format ""{1}"" {2} comme {3} OU un format international {4} comme {5}.",{0} n'est pas une année à 4 chiffres OU un format canadien {2} comme {3} OU un format international {4} comme {5}.,{0} n'est pas une année à 4 chiffres OU un format français {2} comme {3} OU un format international {4} comme {5}.,{0} não é um ano de 4 dígitos OU um formato {2} em português como {3} OU um formato {4} internacional como {5},"{0} это не 4-значный год или российский {2} формат, подобный {3} ИЛИ международный {4} формат, подобный {5}",{0} ist kein 4-stelliges Jahr ODER ein deutsches {2} Format wie {3} ODER ein internationales {4} Format wie {5},{0} is not a 4-digit year OR a Swedish {2} format like {3} OR an international {4} format like {5},{0} er hverken et 4-cifret årstal ELLER et dansk {2} format som {3} ELLER et internationalt {4} format som {5},"{0} ei ole 4-numeroinen vuosi tai ""{1}"" {2} muotoa kuten {3} tai kansainvälisessä {4} muodossa {5}","{0} er ikke et 4-sifret år ELLER et ""{1}"" {2}-format som {3} ELLER et internasjonalt {4}-format som {5}","{0} is not a 4-digit year OR an ""{1}"" {2} format like {3} OR an international {4} format like {5}","{0} nem egy 4 számjegyű év VAGY egy ""{1}"" {2} formátum, mint a {3} VAGY egy nemzetközi {4} formátum, mint például a {5}",{0} nu este un an format din 4 cifre SAU un format „{1}” {2} precum {3} SAU un format internațional {4} precum {5},"{0} nie jest rokiem 4-cyfrowym LUB formatem „{1}” {2}, takim jak {3} LUB międzynarodowym formatem {4}, takim jak {5}","{0} - ը 4 նիշանոց չէ ԿԱՄ հայկական {2} ձևաչափ, ինչպիսին է {3} ԿԱՄ միջազգային {4} ձևաչափ, ինչպիսին է {5}","{0} אינה שנה בת 4 ספרות או בפורמט ""{1}"" {2} כמו {3} או בפורמט {4} בינלאומי כמו {5}","{0} ليس سنة من 4 أرقام أو تنسيق ""{1}"" {2} مثل {3} أو تنسيق دولي {4} مثل {5}","Το {0} δεν είναι 4ψήφιο έτος Ή μορφή ""{1}"" {2} όπως {3} Ή διεθνής μορφή {4} όπως {5}",{0} は、4桁の西暦年でも、「{1}」{2}形式（例：{3}）でも、国際的な{4}形式（例：{5}）でもありません。,9
Competition.defaultFederation,\u0020,,,\u0020,,Real Federación Española de Halterofilia,Federacion Salvadoreña de Levantamiento de Pesas,Federación Ecuatoriana de Levantamiento de Pesas,\u0020,Fédération d'haltérophilie du Québec,Fédération Française d'Haltérophilie,\u0020,\u0020,\u0020,Svenska tyngdlyftningsförbundet,Dansk Vægtløftnings-Forbund,\u0020,Norges Vektløfterforbund,\u0020,Magyar Súlyemelő Szövetség,Federatia Romana de Haltere,\u0020,Գեղարքունիքի մարզի ծանրամարտի ֆեդերացիա,\u0020,\u0020,\u0020,\u0020,10
Competition.defaultFederationAddress,\u0020,,,\u0020,,\u0020,Palacio de Los Deportes San Salvador,"Explanada del Estadio Modelo ""Alberto Spencer"". Comité Olímpico Ecuatoriano",\u0020,"C.P. 1000, Succ. M, Montréal, QC, H1V 3R2","7 Rue Roland Martin, 94500 Champigny-sur-Marne",\u0020,\u0020,\u0020,"Box 110 16, 100 61 STOCKHOLM","Idrættens Hus, Brøndby Stadion 20, 2605 Brøndby",\u0020,"Idrettens hus Ullevål Stadion, Sognsveien 73, 0854 Oslo",\u0020,"1146 Budapest, Istvánmezei út 1-3","Str. Vasile Conta Nr. 16 Sector 2, Bucharest, Romania",\u0020,"ք․ Սևան, Նաիրյան 128",\u0020,\u0020,\u0020,\u0020,11
